BasketballDrill_832x480_50fps_8bit_420.yuv ;SI;TI
; 8.32893941181 ; 0.0
; 8.32893941181 ; 38.4707681233
; 8.26419738156 ; 40.1123422403
; 5.38507422877 ; 40.049968789
; 8.30317154487 ; 38.6652298584
; 8.31646268276 ; 39.3446311458
; 5.23875969778 ; 38.6522961802
; 8.26202079131 ; 37.775653535
; 8.32799578937 ; 39.0
; 5.17388702925 ; 37.7888872554
; 8.20659198867 ; 38.1837661841
; 8.34884772198 ; 38.3666521865
; 5.12066603481 ; 37.322915213
; 8.30783520998 ; 38.3014360044
; 8.43815185069 ; 38.3405790254
; 5.06605528266 ; 37.894590643
; 8.30918781842 ; 38.4447655735
; 8.41500451849 ; 39.5853508258
; 5.11531323738 ; 38.9101529167
; 8.35336163062 ; 38.3275357935
; 8.39797067597 ; 40.162171256
; 5.36739718153 ; 39.4334883063
; 8.51307191637 ; 38.4837628098
; 8.54338197813 ; 40.718546143
; 5.54156818183 ; 40.0374824383
; 8.5837555682 ; 38.4707681233
; 8.77105349188 ; 42.201895692
; 5.92954098664 ; 41.8210473327
; 8.73468883086 ; 39.3700393701
; 8.65642585482 ; 43.3243580449
; 5.6929902693 ; 42.7784992724
; 8.61694293379 ; 40.162171256
MAX; 8.77105349188 ; 43.3243580449
AVG; 7.46747659788 ; 38.1406797356
