Kimono1_1920x1080_24.yuv,;SI;TI,,
;,2.96106162538,;,0
;,2.96106162538,;,47.3392015142
;,2.93923936618,;,65.574385243
;,2.48978542846,;,54.313902456
;,3.05432353736,;,47.2652091924
;,2.97362386807,;,65.6658206375
;,2.5939287493,;,54.295487842
;,3.10939839172,;,47.2652091924
;,2.99847617777,;,65.6582058847
;,2.64235806168,;,54.1387107346
;,3.12698401312,;,47.3180726573
;,2.94551873767,;,65.5515064663
;,2.61790863427,;,54.027770637
;,2.98873131135,;,47.2228758125
;,2.85482455351,;,65.4140657657
;,2.55293690505,;,53.8423625039
;,2.95840664304,;,47.1062628533
;,2.87274706468,;,65.35288823
;,2.61478473769,;,53.6190264738
;,3.0457578526,;,46.9467783772
;,2.92353737957,;,65.192024052
;,2.61390320995,;,53.1507290637
;,3.01125152697,;,46.6261729075
;,2.88705106336,;,65.06919394
;,2.58796061916,;,52.7541467564
;,2.97858192783,;,46.4112055435
;,2.85157882994,;,65.0461374718
;,2.56664863176,;,52.29722746
;,2.838259501,;,46.1302503787
;,2.83686640162,;,65.038450166
;,2.49216115639,;,51.6817182377
;,2.86349028252,;,45.7383865041
;,2.85748934945,;,65.1459898996
;,2.55307111987,;,51.1468474102
;,2.86836779059,;,45.782092569
;,2.77306702847,;,65.35288823
;,2.47293602697,;,51
;,2.67726099714,;,45.9456200306
;,2.74371432173,;,65.7495247131
;,2.31822560028,;,51.0294032887
;,2.56312865812,;,46.1302503787
;,2.768819491,;,66.0302960769
;,2.31320542652,;,51.3906606301
;,2.65010341324,;,46.6476151588
;,2.7778989909,;,66.1437827766
;,2.36803608058,;,51.6913919333
;,2.71529648886,;,47.2228758125
;,2.7763463247,;,66.2872536767
;,2.42353292912,;,51.7687164222
;,2.78899414696,;,47.3708771293
MAX;,3.12698401312,;,66.2872536767
,2.77038482376412,#DIV/0!,53.9446416621216
